事件代碼,事件名稱,年度,開始時間,結束時間,已下載時段,最後更新時間,狀態
R01027,0608豪雨,2026,2026/06/09 02:40,2026/06/10 02:40,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時,連續24小時",2026-09-11 09:39:09,已下載
B02759,2026_04301024大雨,2026,2026/04/30 10:24,2026/04/30 13:24,"事件總累計,連續1小時,連續3小時",2026-09-11 09:39:11,已下載
R01016,2026_04040254豪雨,2026,2026/04/04 02:54,2026/04/05 02:54,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時,連續24小時",2026-09-11 09:39:13,已下載
T2526,鳳凰颱風,2025,2025/11/11 00:00,2025/11/12 00:00,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時,連續24小時",2026-09-11 09:39:15,已下載
R01006,2025_10231623豪雨,2025,2025/10/24 03:13,2025/10/25 03:13,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時,連續24小時",2026-09-11 09:39:17,已下載
R01005,2025_1020豪雨,2025,2025/10/21 09:16,2025/10/22 09:16,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時,連續24小時",2026-09-11 09:39:19,已下載
T2518,樺加沙颱風,2025,2025/09/23 04:10,2025/09/24 04:10,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時,連續24小時",2026-09-11 09:39:21,已下載
R01000,2025_09071550豪雨,2025,2025/09/07 15:50,2025/09/07 21:50,"事件總累計,連續1小時,連續3小時,連續6小時",2026-09-11 09:39:22,已下載
T2511,楊柳颱風,2025,2025/08/13 06:40,2025/08/14 06:40,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時,連續24小時",2026-09-11 09:39:25,已下載
R00986,2025_07271928豪雨,2025,2025/07/30 05:28,2025/07/31 05:28,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時,連續24小時",2026-09-11 09:39:27,已下載
T2505,薇帕颱風,2025,2025/07/18 21:00,2025/07/19 21:00,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時,連續24小時",2026-09-11 09:39:29,已下載
R00976,2025_07150558豪雨,2025,2025/07/15 05:58,2025/07/15 08:58,"事件總累計,連續1小時,連續3小時",2026-09-11 09:39:31,已下載
R00974,2025_07090124豪雨,2025,2025/07/09 11:34,2025/07/10 11:34,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時,連續24小時",2026-09-11 09:39:33,已下載
B02638,2025_07081943大雨,2025,2025/07/08 22:23,2025/07/09 01:23,"事件總累計,連續1小時,連續3小時",2026-09-11 09:39:34,已下載
R00973,2025_07080644豪雨,2025,2025/07/08 06:44,2025/07/08 18:44,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時",2026-09-11 09:39:36,已下載
T2504,丹娜絲颱風,2025,2025/07/05 13:30,2025/07/06 13:30,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時,連續24小時",2026-09-11 09:39:39,已下載
B02545,2025_03061339大雨,2025,2025/03/06 13:39,2025/03/07 01:39,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時",2026-09-11 09:39:41,已下載
R00939,2025_03051501豪雨,2025,2025/03/05 15:11,2025/03/05 16:11,"事件總累計,連續1小時",2026-09-11 09:39:42,已下載
R00938,2025_03041820豪雨,2025,2025/03/04 18:20,2025/03/04 21:20,"事件總累計,連續1小時,連續3小時",2026-09-11 09:39:43,已下載
B02541,2025_03032330大雨,2025,2025/03/03 23:30,2025/03/04 05:30,"事件總累計,連續1小時,連續3小時,連續6小時",2026-09-11 09:39:45,已下載
R00936,2024_12080515豪雨,2024,2024/12/08 05:15,2024/12/08 06:15,"事件總累計,連續1小時",2026-09-11 09:39:47,已下載
T2425,天兔颱風,2024,2024/11/15 09:10,2024/11/16 09:10,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時,連續24小時",2026-09-11 09:39:49,已下載
T2421,康芮颱風,2024,2024/10/31 01:50,2024/11/01 01:50,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時,連續24小時",2026-09-11 09:39:51,已下載
R00928,2024_10231012豪雨,2024,2024/10/24 07:22,2024/10/25 07:22,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時,連續24小時",2026-09-11 09:39:53,已下載
T2418,山陀兒颱風,2024,2024/10/01 22:15,2024/10/02 22:15,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時,連續24小時",2026-09-11 09:39:55,已下載
B02492,2024_09281059大雨,2024,2024/09/28 10:59,2024/09/28 22:59,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時",2026-09-11 09:39:57,已下載
R00922,2024_09212100豪雨,2024,2024/09/22 06:45,2024/09/23 06:45,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時,連續24小時",2026-09-11 09:39:59,已下載
R00921,2024_09211725豪雨,2024,2024/09/21 17:55,2024/09/21 20:55,"事件總累計,連續1小時,連續3小時",2026-09-11 09:40:00,已下載
T2403,凱米颱風,2024,2024/07/24 14:15,2024/07/25 14:15,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時,連續24小時",2026-09-11 09:40:03,已下載
R00853,2024_06011800豪雨,2024,2024/06/02 01:40,2024/06/03 01:40,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時,連續24小時",2026-09-11 09:40:05,已下載
T2314,小犬颱風,2023,2023/10/05 02:20,2023/10/06 02:20,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時,連續24小時",2026-09-11 09:40:07,已下載
T2311,海葵颱風,2023,2023/09/03 11:10,2023/09/04 11:10,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時,連續24小時",2026-09-11 09:40:09,已下載
T2309,蘇拉颱風,2023,2023/08/30 21:40,2023/08/31 21:40,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時,連續24小時",2026-09-11 09:40:11,已下載
T2306,卡努颱風,2023,2023/08/03 17:10,2023/08/04 17:10,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時,連續24小時",2026-09-11 09:40:13,已下載
T2305,杜蘇芮颱風,2023,2023/07/26 11:30,2023/07/27 11:30,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時,連續24小時",2026-09-11 09:40:16,已下載
R00788,2023_06130900豪雨,2023,2023/06/13 09:00,2023/06/14 09:00,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時,連續24小時",2026-09-11 09:40:19,已下載
T2302,瑪娃颱風,2023,2023/05/30 14:40,2023/05/31 14:40,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時,連續24小時",2026-09-11 09:40:22,已下載
R00754,2022_10290602豪雨,2022,2022/10/30 14:42,2022/10/31 14:42,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時,連續24小時",2026-09-11 09:40:24,已下載
T2220,尼莎颱風,2022,2022/10/15 17:00,2022/10/16 17:00,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時,連續24小時",2026-09-11 09:40:27,已下載
T2212,梅花颱風,2022,2022/09/11 08:30,2022/09/12 08:30,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時,連續24小時",2026-09-11 09:40:30,已下載
T2211,軒嵐諾颱風,2022,2022/09/03 11:35,2022/09/04 11:35,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時,連續24小時",2026-09-11 09:40:32,已下載
R00694,2022_05141024豪雨,2022,2022/05/14 13:29,2022/05/14 19:29,"事件總累計,連續1小時,連續3小時,連續6小時",2026-09-11 09:40:35,已下載
B01951,2022_05131311大雨,2022,2022/05/13 22:31,2022/05/14 10:31,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時",2026-09-11 09:40:38,已下載
T2118,圓規颱風,2021,2021/10/11 16:20,2021/10/12 16:20,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時,連續24小時",2026-09-11 09:40:40,已下載
T2114,璨樹颱風,2021,2021/09/11 20:15,2021/09/12 20:15,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時,連續24小時",2026-09-11 09:40:43,已下載
T2109,盧碧颱風,2021,2021/08/04 18:50,2021/08/05 18:50,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時,連續24小時",2026-09-11 09:40:46,已下載
T2106,烟花颱風,2021,2021/07/23 14:30,2021/07/24 14:30,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時,連續24小時",2026-09-11 09:40:49,已下載
T2103,彩雲颱風,2021,2021/06/03 20:50,2021/06/04 20:50,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時,連續24小時",2026-09-11 09:40:51,已下載
R00613,2021_05300645豪雨,2021,2021/05/30 06:45,2021/05/31 06:45,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時,連續24小時",2026-09-11 09:40:54,已下載
T2020,閃電颱風,2020,2020/11/06 06:40,2020/11/07 06:40,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時,連續24小時",2026-09-11 09:40:56,已下載
T2008,巴威颱風,2020,2020/08/22 11:30,2020/08/22 23:30,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時",2026-09-11 09:40:57,已下載
T2006,米克拉颱風,2020,2020/08/10 10:30,2020/08/11 10:30,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時,連續24小時",2026-09-11 09:41:00,已下載
T2004,哈格比颱風,2020,2020/08/02 18:01,2020/08/03 18:01,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時,連續24小時",2026-09-11 09:41:02,已下載
B01634,2020_07271330大雨,2020,2020/07/27 13:40,2020/07/27 19:40,"事件總累計,連續1小時,連續3小時,連續6小時",2026-09-11 09:41:04,已下載
B01630,2020_07251305大雨,2020,2020/07/25 13:20,2020/07/25 14:20,"事件總累計,連續1小時",2026-09-11 09:41:05,已下載
R00549,2020_06081525豪雨,2020,2020/06/08 15:25,2020/06/08 18:25,"事件總累計,連續1小時,連續3小時",2026-09-11 09:41:07,已下載
R00545,2020_05280609豪雨,2020,2020/05/28 06:29,2020/05/28 18:29,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時",2026-09-11 09:41:09,已下載
R00544,2020_05271400豪雨,2020,2020/05/27 14:00,2020/05/28 02:00,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時",2026-09-11 09:41:11,已下載
R00543,2020_05270505豪雨,2020,2020/05/27 05:25,2020/05/27 11:25,"事件總累計,連續1小時,連續3小時,連續6小時",2026-09-11 09:41:13,已下載
